depth	latitude	longitude
9.1	42.701	12.854
10	46.132	11.22
9.8	42.492	13.2
9	41.843	13.814
9.2	43.109	12.818
8.1	43.415	12.505
6.7	42.918	12.799
9.7	37.807	13.134
58.6	43.955	11.085
8.3	43.174	12.799
15.1	44.509	7.269
10	46.348	12.247
10.5	42.562	13.166
9.8	43.247	12.639
5	43.406	12.573
7.9	43.224	13.916
9.2	43.334	12.542
9	43.424	12.534
9.8	43.336	12.542
10	42.15	13.629
8.8	43.491	12.408
14.1	43.047	13.005
9.8	39.795	16.109
10	37.785	13.276
6.9	38.167	15.164
10.3	43.304	12.484
4.6	44.128	8.11
8.7	38.149	15.169
6.6	43.343	12.548
10	44.488	6.703
12.6	43.148	12.638
10.7	44.248	10.18
9.7	42.918	13.01
5.8	45.364	7.536
9	43.307	12.546
12.9	42.91	12.977
10.8	44.503	6.734
10.1	43.423	12.558
19.1	43.219	12.765
11.4	42.453	13.179
7.2	43.295	12.537
8	43.348	12.632
10.8	42.817	12.934
6.7	43.498	12.44
5	41.505	15.645
4.4	43.442	12.444
125.9	38.408	15.493
6.4	43.306	12.536
5	43.586	12.566
93.1	38.72	15.61
12.9	42.457	13.202
