# latitude	longitude	depth =
42.546	13.325	17.9
42.552	13.322	18.4
42.979	13	10.8
42.529	13.311	16.8
43.301	12.541	10
42.643	13.122	12.6
43.457	12.479	7.5
42.547	13.322	18.2
38.125	15.13	8.4
42.54	13.326	18.2
43.346	12.54	6.9
44.541	7.238	10
43.41	12.572	2.5
43.453	12.538	8.5
39.389	18.925	91.8
43.127	13.224	15.9
44.345	11.915	1.7
46.407	10.584	12
44.101	8.107	6
43.352	12.57	8.7
43.364	12.601	6.2
43.299	12.546	3.9
46.426	10.584	10.5
40.468	16.124	28
43.359	12.615	5.9
43.357	12.608	10.1
43.366	12.61	5.9
43.407	12.437	4.4
44.404	10.24	8.3
41.086	15.25	15.3
43.359	12.62	8.3
43.355	12.618	7.5
42.411	13.141	13.8
43.359	12.613	7.2
41.083	15.267	17.3
43.355	12.73	13
43.361	12.608	8.8
41.81	13.594	13
39.261	16.221	6.6
43.353	12.727	13.5
43.395	12.52	6.6
43.304	12.552	7.8
43.415	12.575	5.1
46.408	10.57	10.3
46.411	10.58	11.6
43.358	12.615	7.7
43.358	12.616	8.3
43.356	12.616	7.8
43.355	12.611	8.7
43.604	12.149	10
43.224	12.981	9.9
43.3	12.55	14.5
42.768	13.214	9.8
43.303	12.543	9.8
43.306	12.548	10
43.465	12.47	7.5
43.361	12.614	6.4
38.444	15.511	132.5
43.338	12.548	6.2
43.339	12.545	6.5
41.516	13.787	10
43.419	12.548	6.2
43.457	12.482	6.6
42.314	14.265	23.9
45.642	10.716	6
38.46	15.29	127
42.917	12.737	10.4
46.834	11.586	9.2
42.622	13.211	13
39.842	16.178	10.6
42.343	13.504	9.7
43.357	12.575	5.6
42.631	13.216	14.1
44.221	10.226	5.1
44.134	11.022	13
44.137	11.013	11
44.131	11.017	12.6
43.405	12.578	4
44.121	11.005	16.9
44.167	10.99	7.8
44.136	11.024	11.2
44.106	11.01	17.8
44.141	10.998	10.5
42.622	13.196	12
44.143	11.002	10.4
44.145	11.019	12.3
43.247	11.386	11
43.244	12.636	10.1
42.38	13.145	10.4
43.308	12.56	10
46.36	12.927	11.1
43.141	11.059	3.4
39.934	15.87	5.6
45.629	7.63	10
43.31	12.546	9.9
42.964	12.885	11.1
44.368	8.45	9
43.342	12.542	6.7
43.406	12.581	5
43.428	12.428	7.8
44.167	11.17	10.3
43.306	12.548	7.7
43.304	12.534	9.4
43.304	12.544	9.1
43.307	12.548	7.8
43.303	12.542	9.8
39.611	15.8	10
42.726	12.856	6.4
45.674	10.446	8
39.317	15.763	2.2
42.486	13.02	13.4
43.389	12.837	12.8
39.223	16.214	54.9
43.304	12.546	8.7
44.395	7.306	12.7
43.182	12.578	10.1
36.924	14.797	19.7
39.898	16.009	8.5
39.885	16.073	8.7
38.08	14.742	8.7
38.095	14.742	8.2
44.193	10.193	4.8
43.174	12.799	9.2
44.559	10.066	23.5
46.128	11.199	10
43.428	12.506	6.5
42.924	12.85	9.6
43.266	11.404	9.3
38.16	15.15	8.2
44.357	7.28	10
43.456	12.456	7.8
42.958	12.908	9.2
46.127	7.637	7.1
42.701	12.854	9.1
46.132	11.22	10
42.492	13.2	9.8
41.843	13.814	9
43.109	12.818	9.2
43.415	12.505	8.1
42.918	12.799	6.7
37.807	13.134	9.7
43.955	11.085	58.6
43.174	12.799	8.3
44.509	7.269	15.1
46.348	12.247	10
42.562	13.166	10.5
43.247	12.639	9.8
43.406	12.573	5
43.224	13.916	7.9
43.334	12.542	9.2
43.424	12.534	9
43.336	12.542	9.8
42.15	13.629	10
43.491	12.408	8.8
43.047	13.005	14.1
39.795	16.109	9.8
37.785	13.276	10
38.167	15.164	6.9
43.304	12.484	10.3
44.128	8.11	4.6
38.149	15.169	8.7
43.343	12.548	6.6
44.488	6.703	10
43.148	12.638	12.6
44.248	10.18	10.7
42.918	13.01	9.7
45.364	7.536	5.8
43.307	12.546	9
42.91	12.977	12.9
44.503	6.734	10.8
43.423	12.558	10.1
43.219	12.765	19.1
42.453	13.179	11.4
43.295	12.537	7.2
43.348	12.632	8
42.817	12.934	10.8
43.498	12.44	6.7
41.505	15.645	5
43.442	12.444	4.4
38.408	15.493	125.9
43.306	12.536	6.4
43.586	12.566	5
38.72	15.61	93.1
